road_num,Month (number),Day of month,Hour,current_speed,speed_diff,time_diff,Day of week (name),temperature,wind_speed,clouds,description,incident_category_desc,length_in_meters,delay_in_seconds,Distance,atmosphere,rain
1,1,16,0,20.0,0.0,0.0,1,10,4,75,-1,-1,-1,-1,-1.0,0,0
1,1,16,1,20.0,0.0,0.0,1,10,3,75,-1,-1,-1,-1,-1.0,0,0
1,1,16,2,20.0,0.0,0.0,1,10,3,75,-1,-1,-1,-1,-1.0,0,0
1,1,16,3,20.0,0.0,0.0,1,9,4,75,-1,-1,-1,-1,-1.0,0,0
1,1,16,4,20.0,0.0,0.0,1,9,3,75,-1,-1,-1,-1,-1.0,0,0
1,1,16,5,20.0,0.0,0.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
1,1,16,6,20.0,0.0,0.0,1,9,3,75,-1,-1,-1,-1,-1.0,0,0
1,1,16,7,20.0,0.0,0.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
1,1,16,8,20.0,0.0,0.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
1,1,16,9,18.0,1.6666666666666663,1.3333333333333333,1,-1,-1,-1,0,0,306,135,0.4933365578930169,1,0
1,1,16,10,19.0,0.0,0.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
1,1,16,11,19.0,0.0,0.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
1,1,16,12,19.0,0.0,0.0,1,10,2,75,-1,-1,-1,-1,-1.0,0,1
1,1,16,13,19.0,0.0,0.0,1,11,2,75,-1,-1,-1,-1,-1.0,0,1
1,1,16,14,19.0,0.0,0.0,1,11,2,75,-1,-1,-1,-1,-1.0,0,1
1,1,16,15,19.0,0.0,0.0,1,11,3,75,-1,-1,-1,-1,-1.0,0,1
1,1,16,16,19.0,0.0,0.0,1,11,2,75,-1,-1,-1,-1,-1.0,0,1
1,1,16,17,17.666666666666664,1.3333333333333333,1.3333333333333333,1,11,1,75,0,0,322,288,0.4933365578930169,0,1
