road_num,Month (number),Day of month,Hour,current_speed,speed_diff,time_diff,Day of week (name),temperature,wind_speed,clouds,description,incident_category_desc,length_in_meters,delay_in_seconds,Distance,atmosphere,rain
3,1,16,0,36.0,0.0,0.0,1,10,4,75,-1,-1,-1,-1,-1.0,0,0
3,1,16,1,36.0,0.0,0.0,1,10,3,75,-1,-1,-1,-1,-1.0,0,0
3,1,16,2,36.0,0.0,0.0,1,10,3,75,-1,-1,-1,-1,-1.0,0,0
3,1,16,3,36.0,0.0,0.0,1,9,4,75,-1,-1,-1,-1,-1.0,0,0
3,1,16,4,36.0,0.0,0.0,1,9,3,75,-1,-1,-1,-1,-1.0,0,0
3,1,16,5,36.0,0.0,0.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
3,1,16,6,36.0,0.0,0.0,1,9,3,75,-1,-1,-1,-1,-1.0,0,0
3,1,16,7,26.0,10.0,14.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,2
3,1,16,8,26.666666666666664,9.0,12.333333333333332,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,2
3,1,16,9,25.666666666666664,9.666666666666666,14.0,1,-1,-1,-1,0,0,381,205,0.10916188438935567,1,0
3,1,16,10,24.33333333333333,11.0,17.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
3,1,16,11,24.33333333333333,11.666666666666664,18.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
3,1,16,12,24.666666666666664,11.0,17.0,1,10,2,75,-1,-1,-1,-1,-1.0,0,1
3,1,16,13,23.666666666666664,12.333333333333332,20.0,1,11,2,75,-1,-1,-1,-1,-1.0,0,1
3,1,16,14,27.33333333333333,8.0,11.0,1,11,2,75,-1,-1,-1,-1,-1.0,0,1
3,1,16,15,26.0,9.333333333333332,13.666666666666664,1,11,3,75,-1,-1,-1,-1,-1.0,0,1
3,1,16,16,26.0,10.0,14.666666666666664,1,11,2,75,-1,-1,-1,-1,-1.0,0,1
3,1,16,17,20.666666666666664,14.999999999999998,27.666666666666664,1,11,1,75,-1,-1,-1,-1,-1.0,0,1
3,1,16,18,22.33333333333333,13.333333333333332,23.0,1,11,1,75,1,0,326,57,0.10916188438935567,0,1
3,1,16,19,16.333333333333332,11.666666666666664,7.999999999999999,1,10,2,75,0,0,498,292,0.10916188438935567,0,1
3,1,16,20,21.33333333333333,3.333333333333333,1.0,1,10,2,75,-1,-1,-1,-1,-1.0,0,1
3,1,16,21,23.0,1.6666666666666663,0.3333333333333333,1,9,0,40,-1,-1,-1,-1,-1.0,2,0
3,1,16,22,20.0,7.0,4.666666666666666,1,7,0,40,-1,-1,-1,-1,-1.0,2,0
3,1,16,23,27.0,0.0,0.0,1,8,1,40,-1,-1,-1,-1,-1.0,0,0
3,1,17,0,27.0,0.0,0.0,2,7,1,75,-1,-1,-1,-1,-1.0,2,0
3,1,17,1,27.0,0.0,0.0,2,6,1,75,-1,-1,-1,-1,-1.0,2,0
3,1,17,2,27.0,0.0,0.0,2,7,1,40,-1,-1,-1,-1,-1.0,2,0
3,1,17,3,27.0,0.0,0.0,2,7,1,75,-1,-1,-1,-1,-1.0,2,0
3,1,17,4,27.0,0.0,0.0,2,6,1,40,-1,-1,-1,-1,-1.0,2,0
3,1,17,5,27.0,0.0,0.0,2,7,0,40,-1,-1,-1,-1,-1.0,0,0
3,1,17,6,27.0,0.0,0.0,2,4,1,20,-1,-1,-1,-1,-1.0,2,0
3,1,17,7,27.0,0.0,0.0,2,4,2,20,-1,-1,-1,-1,-1.0,0,0
3,1,17,8,27.0,0.0,0.0,2,5,2,0,-1,-1,-1,-1,-1.0,1,0
3,1,17,9,14.999999999999998,9.333333333333332,2.6666666666666665,2,6,2,0,0,0,498,196,0.10916188438935567,1,0
3,1,17,10,25.0,0.0,0.0,2,8,3,0,-1,-1,-1,-1,-1.0,1,0
3,1,17,11,25.0,0.0,0.0,2,9,3,0,-1,-1,-1,-1,-1.0,1,0
3,1,17,12,25.0,0.0,0.0,2,11,3,0,-1,-1,-1,-1,-1.0,1,0
3,1,17,13,25.0,0.0,0.0,2,12,4,20,-1,-1,-1,-1,-1.0,2,0
3,1,17,14,23.33333333333333,1.6666666666666663,0.3333333333333333,2,12,6,20,-1,-1,-1,-1,-1.0,2,0
3,1,17,15,22.666666666666664,2.333333333333333,0.3333333333333333,2,13,5,20,-1,-1,-1,-1,-1.0,2,0
3,1,17,16,22.666666666666664,2.0,0.3333333333333333,2,13,4,20,-1,-1,-1,-1,-1.0,0,0
3,1,17,17,12.666666666666664,12.333333333333332,5.666666666666666,2,12,4,20,0,0,226,170,0.2462566744069076,2,0
3,1,17,18,9.666666666666666,15.0,7.333333333333332,2,11,4,20,2,0,833,57,0.17524601985112176,0,0
3,1,17,19,21.33333333333333,4.0,1.3333333333333333,2,8,2,0,1,0,983,135,0.20971061034936367,1,0
3,1,17,20,26.0,0.0,0.0,2,8,2,0,-1,-1,-1,-1,-1.0,1,0
3,1,17,21,26.0,0.0,0.0,2,7,3,0,-1,-1,-1,-1,-1.0,1,0
3,1,17,22,26.0,0.0,0.0,2,6,2,0,-1,-1,-1,-1,-1.0,1,0
3,1,17,23,26.0,0.0,0.0,2,6,2,0,-1,-1,-1,-1,-1.0,1,0
3,1,18,0,26.0,0.0,0.0,3,4,1,0,-1,-1,-1,-1,-1.0,2,0
3,1,18,1,26.0,0.0,0.0,3,4,0,0,-1,-1,-1,-1,-1.0,0,0
3,1,18,2,26.0,0.0,0.0,3,4,1,0,-1,-1,-1,-1,-1.0,2,0
3,1,18,3,26.0,0.0,0.0,3,3,1,0,-1,-1,-1,-1,-1.0,2,0
3,1,18,4,26.0,0.0,0.0,3,4,0,0,-1,-1,-1,-1,-1.0,2,0
3,1,18,5,26.0,0.0,0.0,3,4,1,0,-1,-1,-1,-1,-1.0,2,0
3,1,18,6,26.0,0.0,0.0,3,4,0,0,-1,-1,-1,-1,-1.0,2,0
3,1,18,7,26.0,0.0,0.0,3,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
3,1,18,8,26.0,0.0,0.0,3,4,4,0,-1,-1,-1,-1,-1.0,1,0
3,1,18,9,24.0,1.6666666666666663,0.3333333333333333,3,4,3,20,0,0,381,179,0.10916188438935567,0,0
3,1,18,10,26.0,0.0,0.0,3,5,4,75,-1,-1,-1,-1,-1.0,0,0
3,1,18,11,23.666666666666664,11.666666666666664,19.0,3,6,4,40,-1,-1,-1,-1,-1.0,2,0
3,1,18,12,18.33333333333333,17.0,41.66666666666666,3,6,3,90,-1,-1,-1,-1,-1.0,2,0
3,1,18,13,25.0,10.333333333333332,16.333333333333332,3,7,3,75,-1,-1,-1,-1,-1.0,0,0
3,1,18,14,28.33333333333333,7.333333333333332,11.0,3,7,4,75,-1,-1,-1,-1,-1.0,0,0
3,1,18,15,28.0,7.333333333333332,11.333333333333332,3,8,4,90,-1,-1,-1,-1,-1.0,0,0
3,1,18,16,23.666666666666664,12.0,19.33333333333333,3,8,3,90,-1,-1,-1,-1,-1.0,0,0
3,1,18,17,23.666666666666664,11.666666666666664,19.33333333333333,3,8,4,90,0,0,498,256,0.10916188438935567,0,0
3,1,18,18,19.666666666666664,16.666666666666664,31.666666666666664,3,8,3,40,0,0,498,211,0.10916188438935567,0,0
3,1,18,19,25.0,10.333333333333332,15.666666666666664,3,8,2,75,1,0,504,73,0.10916188438935567,0,0
3,1,18,20,36.0,0.0,0.0,3,8,3,75,-1,-1,-1,-1,-1.0,0,0
