road_num,Month (number),Day of month,Hour,current_speed,speed_diff,time_diff,Day of week (name),temperature,wind_speed,clouds,description,incident_category_desc,length_in_meters,delay_in_seconds,Distance,atmosphere,rain
4,1,16,0,47.0,0.0,0.0,1,10,4,75,-1,-1,-1,-1,-1.0,0,0
4,1,16,1,47.0,0.0,0.0,1,10,3,75,-1,-1,-1,-1,-1.0,0,0
4,1,16,2,47.0,0.0,0.0,1,10,3,75,-1,-1,-1,-1,-1.0,0,0
4,1,16,3,47.0,0.0,0.0,1,9,4,75,-1,-1,-1,-1,-1.0,0,0
4,1,16,4,47.0,0.0,0.0,1,9,3,75,-1,-1,-1,-1,-1.0,0,0
4,1,16,5,47.0,0.0,0.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
4,1,16,6,47.0,0.0,0.0,1,9,3,75,-1,-1,-1,-1,-1.0,0,0
4,1,16,7,36.0,11.0,15.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,2
4,1,16,8,29.666666666666664,17.333333333333332,29.666666666666664,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,2
4,1,16,9,31.33333333333333,14.666666666666664,24.666666666666664,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,2
4,1,16,10,30.666666666666664,15.666666666666664,25.666666666666664,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,2
4,1,16,11,30.666666666666664,15.999999999999998,25.666666666666664,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
4,1,16,12,25.33333333333333,21.0,46.66666666666666,1,10,2,75,-1,-1,-1,-1,-1.0,0,1
4,1,16,13,28.33333333333333,18.666666666666664,32.33333333333333,1,11,2,75,-1,-1,-1,-1,-1.0,0,1
4,1,16,14,23.666666666666664,22.666666666666664,46.66666666666666,1,11,2,75,-1,-1,-1,-1,-1.0,0,1
4,1,16,15,28.33333333333333,18.0,31.666666666666664,1,11,3,75,-1,-1,-1,-1,-1.0,0,1
4,1,16,16,26.666666666666664,19.33333333333333,36.33333333333333,1,11,2,75,-1,-1,-1,-1,-1.0,0,1
4,1,16,17,23.33333333333333,23.0,52.66666666666666,1,11,1,75,-1,-1,-1,-1,-1.0,0,1
4,1,16,18,18.0,28.33333333333333,90.66666666666669,1,11,1,75,-1,-1,-1,-1,-1.0,0,1
4,1,16,19,34.0,12.0,23.0,1,10,2,75,-1,-1,-1,-1,-1.0,0,1
4,1,16,20,43.66666666666666,3.333333333333333,4.333333333333333,1,10,2,75,-1,-1,-1,-1,-1.0,0,1
4,1,16,21,47.0,0.0,0.0,1,9,0,40,-1,-1,-1,-1,-1.0,2,0
4,1,16,22,47.0,0.0,0.0,1,7,0,40,-1,-1,-1,-1,-1.0,2,0
4,1,16,23,47.0,0.0,0.0,1,8,1,40,-1,-1,-1,-1,-1.0,0,0
4,1,17,0,47.0,0.0,0.0,2,7,1,75,-1,-1,-1,-1,-1.0,2,0
4,1,17,1,47.0,0.0,0.0,2,6,1,75,-1,-1,-1,-1,-1.0,2,0
4,1,17,2,47.0,0.0,0.0,2,7,1,40,-1,-1,-1,-1,-1.0,2,0
4,1,17,3,47.0,0.0,0.0,2,7,1,75,-1,-1,-1,-1,-1.0,2,0
4,1,17,4,47.0,0.0,0.0,2,6,1,40,-1,-1,-1,-1,-1.0,2,0
4,1,17,5,47.0,0.0,0.0,2,7,0,40,-1,-1,-1,-1,-1.0,0,0
4,1,17,6,47.0,0.0,0.0,2,4,1,20,-1,-1,-1,-1,-1.0,2,0
4,1,17,7,47.0,0.0,0.0,2,4,2,20,-1,-1,-1,-1,-1.0,0,0
