city_name,description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date,latitude,longitude,road_num,Distance
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,410,377,2019-12-18 19:06:40.565000,41.551770899999994,-8.4226969,1,0.39982145714632794
Braga,stationary traffic,,Rua Monsenhor Airosa (N309) / Rua Conselheiro Lobato,Rua Conselheiro Lobato / Rua Monsenhor Airosa (N309),,Jam,Major,157,153,2019-12-18 22:26:40.789000,41.5449688,-8.4205123,1,0.379534341482106
Braga,stationary traffic,,Rua Monsenhor Airosa (N309) / Rua Conselheiro Lobato,Rua Conselheiro Lobato / Rua Monsenhor Airosa (N309),,Jam,Major,157,153,2019-12-18 22:46:40.772000,41.5449688,-8.4205123,1,0.379534341482106
Braga,queuing traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Moderate,388,201,2019-12-19 09:26:40.529000,41.551095000000004,-8.4178569,1,0.4200699416322604
Braga,queuing traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Moderate,462,182,2019-12-19 09:46:40.548000,41.551557700000004,-8.4172319,1,0.4931756964663272
Braga,queuing traffic,,N103 (Avenida 31 De Janeiro),Avenida Central (Avenida 31 De Janeiro),,Jam,Moderate,304,127,2019-12-19 09:46:40.548000,41.5491276,-8.4155582,1,0.48579485822746726
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,473,248,2019-12-19 11:06:40.633000,41.5517763,-8.4219459,1,0.38687516469257277
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,473,193,2019-12-19 11:26:40.622000,41.5517763,-8.4219459,1,0.38687516469257277
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,394,174,2019-12-19 15:06:40.732000,41.5517615,-8.4228874,1,0.40373358569691326
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,327,144,2019-12-19 15:46:40.734000,41.5518473,-8.4235593,1,0.4339203769894491
Braga,stationary traffic,,N14,Avenida da Liberdade (N101) / Avenida João XXI,N309,Jam,Major,199,199,2019-12-19 15:46:40.734000,41.545286600000004,-8.4221632,1,0.34609434314533943
Braga,stationary traffic,,N14,Avenida da Liberdade (N101) / N309,,Jam,Major,216,294,2019-12-19 15:46:40.734000,41.5472473,-8.4179253,1,0.3054457778548336
Braga,stationary traffic,,Rua Dom Afonso Henriques / Largo São João do Souto,Rua do Raio / Avenida da Liberdade,,Jam,Major,171,225,2019-12-19 16:06:40.844000,41.5495487,-8.4238449,1,0.2515048343754694
Braga,stationary traffic,,N14,Avenida da Liberdade (N101) / Avenida João XXI,N309,Jam,Major,199,220,2019-12-19 16:06:40.844000,41.545286600000004,-8.4221632,1,0.34609434314533943
Braga,slow traffic,,Avenida Central (N101),N309 (N101),N101,Jam,Minor,746,154,2019-12-19 16:06:40.844000,41.548827200000005,-8.4215838,1,0.06008270060785822
Braga,slow traffic,,N14,Avenida da Liberdade (N101) / N309,,Jam,Minor,216,63,2019-12-19 16:06:40.844000,41.5472473,-8.4179253,1,0.3054457778548336
Braga,stationary traffic,,N103,N103 / N14,,Jam,Major,145,240,2019-12-19 16:06:40.844000,41.5490833,-8.4155287,1,0.4873393269686865
Braga,slow traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Minor,462,153,2019-12-19 16:26:40.726000,41.551557700000004,-8.4172319,1,0.4931756964663272
Braga,stationary traffic,,Rua Dom Afonso Henriques / Largo São João do Souto,Rua do Raio / Avenida da Liberdade,,Jam,Major,251,173,2019-12-19 16:26:40.726000,41.5497874,-8.424748800000001,1,0.3296812634502097
Braga,queuing traffic,,Avenida da Liberdade (N101) / Avenida João XXI (N309),Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,,Jam,Moderate,221,120,2019-12-19 16:26:40.726000,41.5489573,-8.418294099999999,1,0.25949650268348295
Braga,queuing traffic,,N14,Avenida da Liberdade (N101) / N309,,Jam,Moderate,216,111,2019-12-19 16:26:40.726000,41.5472473,-8.4179253,1,0.3054457778548336
Braga,stationary traffic,,Rua Dom Afonso Henriques / Largo São João do Souto,Rua do Raio / Avenida da Liberdade,,Jam,Major,251,223,2019-12-19 16:46:40.699000,41.5497874,-8.424748800000001,1,0.3296812634502097
Braga,stationary traffic,,Avenida Central (N101),Braga-Circular (N101),N101,Jam,Major,1401,707,2019-12-19 16:46:40.699000,41.551770899999994,-8.422694300000002,1,0.39975851599649526
Braga,slow traffic,,Avenida Central (N101),N309 (N101),N101,Jam,Minor,831,173,2019-12-19 16:46:40.699000,41.548820500000005,-8.421579800000002,1,0.05926678505785181
Braga,stationary traffic,,Avenida da Liberdade (N101) / Avenida João XXI (N309),Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,,Jam,Major,345,218,2019-12-19 16:46:40.699000,41.5480614,-8.4191886,1,0.17808158056487097
Braga,stationary traffic,,N14,Avenida da Liberdade (N101) / N309,,Jam,Major,216,156,2019-12-19 16:46:40.699000,41.5472473,-8.4179253,1,0.3054457778548336
Braga,queuing traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Moderate,388,148,2019-12-19 16:46:40.699000,41.551095000000004,-8.4178569,1,0.4200699416322604
Braga,stationary traffic,,Rua Dom Afonso Henriques / Largo São João do Souto,Rua do Raio / Avenida da Liberdade,,Jam,Major,196,222,2019-12-19 17:06:48.617000,41.5496439,-8.4241105,1,0.27584576838914476
Braga,queuing traffic,,N14,Avenida da Liberdade (N101) / Avenida João XXI,N309,Jam,Moderate,199,98,2019-12-19 17:06:48.617000,41.545286600000004,-8.4221632,1,0.34609434314533943
Braga,queuing traffic,,Avenida da Imaculada Conceição (N14) / Rua Sá de Miranda,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,,Jam,Moderate,570,314,2019-12-19 17:06:48.617000,41.5471629,-8.4215999,1,0.13229429309880578
Braga,queuing traffic,,Avenida Central (N101),Rua Do Conselheiro Bento Miguel (N101),N101,Jam,Moderate,1253,579,2019-12-19 17:06:48.617000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,stationary traffic,,N14,Avenida da Liberdade (N101) / N309,,Jam,Major,216,210,2019-12-19 17:06:48.617000,41.5472473,-8.4179253,1,0.3054457778548336
Braga,stationary traffic,,Avenida Central (N101),Braga-Circular (N101),N101,Jam,Major,1650,1300,2019-12-19 17:26:41.442000,41.551770899999994,-8.422694300000002,1,0.39975851599649526
Braga,queuing traffic,,Rua Dom Afonso Henriques / Largo São João do Souto,Rua do Raio / Avenida da Liberdade,,Jam,Moderate,251,137,2019-12-19 17:26:41.442000,41.5497874,-8.424748800000001,1,0.3296812634502097
Braga,stationary traffic,,Rua Monsenhor Airosa (N309),Rua Monsenhor Airosa (N309),,Jam,Major,283,223,2019-12-19 17:26:41.442000,41.544585299999994,-8.4223134,1,0.42498845143393865
Braga,slow traffic,,Avenida Central (N101),N309 (N101),N101,Jam,Minor,816,119,2019-12-19 17:26:41.442000,41.548820500000005,-8.421579800000002,1,0.05926678505785181
Braga,stationary traffic,,Avenida da Liberdade (N101) / Avenida João XXI (N309),Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,,Jam,Major,221,170,2019-12-19 17:26:41.442000,41.5489573,-8.418294099999999,1,0.25949650268348295
Braga,stationary traffic,,N14,Avenida da Liberdade (N101) / N309,,Jam,Major,216,170,2019-12-19 17:26:41.442000,41.5472473,-8.4179253,1,0.3054457778548336
Braga,stationary traffic,,Largo São João do Souto,Rua do Raio / Avenida da Liberdade,,Jam,Major,308,213,2019-12-19 17:46:48.364000,41.5495876,-8.425381800000002,1,0.36744568201099226
Braga,queuing traffic,,N14,Avenida da Liberdade (N101) / Avenida João XXI,N309,Jam,Moderate,199,70,2019-12-19 17:46:48.364000,41.545286600000004,-8.4221632,1,0.34609434314533943
Braga,queuing traffic,,Avenida Central (N101),N309 (N101),N101,Jam,Moderate,831,253,2019-12-19 17:46:48.364000,41.548820500000005,-8.421579800000002,1,0.05926678505785181
Braga,stationary traffic,,Avenida Central (N101),Braga-Circular (N101),N101,Jam,Major,1633,983,2019-12-19 17:46:48.364000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,stationary traffic,,Rua de Santiago / Rua Dom Gualdim Pais,Rua do Raio / Avenida da Liberdade,,Jam,Major,463,391,2019-12-19 18:06:42.423000,41.549063200000006,-8.4271038,1,0.48995568124841127
Braga,slow traffic,,Avenida Central (N101),N309 (N101),N101,Jam,Minor,831,135,2019-12-19 18:06:42.423000,41.548820500000005,-8.421579800000002,1,0.05926678505785181
Braga,stationary traffic,,Avenida Central (N101),Braga-Circular (N101),N101,Jam,Major,1746,1247,2019-12-19 18:06:42.423000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,stationary traffic,,Rua Dom Afonso Henriques / Largo São João do Souto,Rua do Raio / Avenida da Liberdade,,Jam,Major,251,187,2019-12-19 18:26:42.874000,41.5497874,-8.424748800000001,1,0.3296812634502097
Braga,slow traffic,,Avenida Central (N101),N309 (N101),N101,Jam,Minor,829,147,2019-12-19 18:26:42.874000,41.548820500000005,-8.421579800000002,1,0.05926678505785181
Braga,stationary traffic,,Avenida Central (N101),Braga-Circular (N101),N101,Jam,Major,1633,1096,2019-12-19 18:26:42.874000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,stationary traffic,,Avenida Central (N101),Rua Do Conselheiro Bento Miguel (N101),N101,Jam,Major,1160,1026,2019-12-19 18:46:40.857000,41.5517763,-8.4220452,1,0.38811301980531393
Braga,slow traffic,,Avenida Central (N101),N309 (N101),N101,Jam,Minor,878,146,2019-12-19 18:46:40.857000,41.549229499999996,-8.4218172,1,0.10885096388108226
Braga,stationary traffic,,N101 (N103),Avenida General Carrilho Da Silva Pinto (N103),N103,Jam,Major,1863,941,2019-12-19 18:46:40.857000,41.5483296,-8.416664599999999,1,0.38558183097522153
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,506,578,2019-12-19 19:06:51.593000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,327,146,2019-12-19 19:26:40.739000,41.5518473,-8.4235593,1,0.4339203769894491
Braga,stationary traffic,,N101 (N103),Braga-Circular (São Vítor) (N103),N103,Jam,Major,1091,463,2019-12-19 19:26:40.739000,41.5483296,-8.416664599999999,1,0.38558183097522153
Braga,queuing traffic,,Avenida da Liberdade (N101) / Avenida João XXI (N309),Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,,Jam,Moderate,221,142,2019-12-20 08:46:49.653000,41.5489573,-8.418294099999999,1,0.25949650268348295
Braga,slow traffic,,Avenida Central (N101),Rua Do Conselheiro Bento Miguel (N101),N101,Jam,Minor,409,147,2019-12-20 09:26:45.151000,41.5523261,-8.4235727,1,0.48288225105647803
Braga,queuing traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Moderate,388,201,2019-12-20 09:26:45.151000,41.551095000000004,-8.4178569,1,0.4200699416322604
Braga,queuing traffic,,Avenida Central (N101),Rua Do Conselheiro Bento Miguel (N101),N101,Jam,Moderate,530,317,2019-12-20 09:46:40.737000,41.5517615,-8.422886,1,0.4036954346921218
Braga,stationary traffic,,Avenida da Liberdade (N101),Avenida da Imaculada Conceição (N14),N309,Jam,Major,209,129,2019-12-20 09:46:40.737000,41.54597329999999,-8.419837699999999,1,0.28896108640416873
Braga,slow traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Minor,462,118,2019-12-20 09:46:40.737000,41.551557700000004,-8.4172319,1,0.4931756964663272
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,341,171,2019-12-20 10:26:40.642000,41.5517213,-8.4235271,1,0.42014982679532453
Braga,stationary traffic,,Avenida da Imaculada Conceição (N14) / Rua Sá de Miranda,Avenida da Liberdade (N101),,Jam,Major,117,268,2019-12-20 10:26:40.642000,41.5469765,-8.4220814,1,0.16411775647432203
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,341,305,2019-12-20 10:46:43.064000,41.5517213,-8.4235271,1,0.42014982679532453
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,341,137,2019-12-20 11:06:40.762000,41.5517213,-8.4235271,1,0.42014982679532453
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,506,261,2019-12-20 11:46:40.654000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,465,200,2019-12-20 12:06:40.670000,41.5517763,-8.4220385,1,0.388024086992804
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,410,197,2019-12-20 15:46:40.627000,41.551770899999994,-8.4226969,1,0.39982145714632794
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,506,243,2019-12-20 16:06:40.594000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,queuing traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Moderate,462,183,2019-12-20 16:06:40.594000,41.551557700000004,-8.4172319,1,0.4931756964663272
Braga,slow traffic,,Avenida Central (N101),Rua Conselheiro Lobato (N101),N101,Jam,Minor,667,118,2019-12-20 16:26:40.665000,41.5492872,-8.421852000000001,1,0.11588937393219713
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,506,362,2019-12-20 16:26:40.665000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,slow traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Minor,388,129,2019-12-20 16:26:40.665000,41.551095000000004,-8.4178569,1,0.4200699416322604
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,506,196,2019-12-20 16:46:40.625000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,queuing traffic,,Avenida 31 de Janeiro,Avenida da Liberdade (N101),,Jam,Moderate,388,211,2019-12-20 16:46:40.625000,41.551095000000004,-8.4178569,1,0.4200699416322604
Braga,stationary traffic,,Rua De Santa Margarida (Avenida Central),N101 (Avenida Central),,Jam,Major,328,325,2019-12-20 16:46:40.625000,41.5516958,-8.4176289,1,0.4829199899191141
Braga,slow traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Minor,506,231,2019-12-20 17:06:40.767000,41.5517803,-8.4215449,1,0.3840945751356739
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,465,356,2019-12-20 17:26:40.704000,41.5517763,-8.4220385,1,0.388024086992804
Braga,slow traffic,,Avenida 31 de Janeiro,Avenida da Liberdade,,Jam,Minor,477,129,2019-12-20 17:26:40.704000,41.551557700000004,-8.4172319,1,0.4931756964663272
